ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_b01.obj;18628.986328125;6.615224361419678;17010.55078125;-2.796205520629883;109;-4.453145980834961;0;5.599609375;27259710;m2;1108217
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_b01.obj;19040.068359375;7.839226722717285;17018.833984375;-0.6996387839317322;116.99996948242188;-9.433990478515625;0;5.2197265625;27549744;m2;1108217
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_b01.obj;18820.869140625;-139.7997589111328;17437.77734375;3.300372838973999;115.5;-4.346908092498779;0;4.3193359375;27602084;m2;1108217
..\..\world\expansion06\doodads\7xp_kelpbush_c01.obj;18642.548828125;-135.68951416015625;17342.33203125;0;180;0;0;0.8095703125;27601803;m2;1342503
..\..\world\expansion06\doodads\7xp_kelp_b01.obj;18680.607421875;-120.55034637451172;17550.4765625;0;319.5;0;0;4.7099609375;27601682;m2;1334379
..\..\world\expansion06\doodads\7xp_kelpbush_c02.obj;18684.560546875;-120.65625;17551.67578125;0;43;0;0;1;27601804;m2;1342504
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18725.935546875;-109.32814025878906;17496.091796875;0;108.85106658935547;0;0;4.3251953125;27601706;m2;1334385
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18659.90625;-111.83159637451172;17461.861328125;0;90.8509521484375;0;0;4.3251953125;27601766;m2;1334385
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_a01.obj;18826.662109375;-45.2807502746582;17138.673828125;23.996959686279297;322.99993896484375;-17.105363845825195;0;2.4697265625;27260743;m2;1108227
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_a01.obj;18694.224609375;-37.30830764770508;17147.232421875;67.80766296386719;170.00018310546875;116.96077728271484;0;2.2890625;27258990;m2;1108227
..\..\world\expansion06\doodads\aszuna\7az_coastrock_b02.obj;19138.2734375;-52.114646911621094;17394.048828125;16.35915756225586;113.81781005859375;28.052776336669922;0;1.7099609375;27608273;m2;1120481
..\..\world\expansion06\doodads\aszuna\7az_coastrock_b02.obj;19174.7421875;-52.30562210083008;17529.95703125;16.35915756225586;113.81781005859375;28.052776336669922;0;1.7099609375;27608391;m2;1120481
..\..\world\expansion06\doodads\7xp_kelp_b01.obj;18692.4765625;-111.38194274902344;17475.388671875;0;206.37100219726562;0;0;3.822265625;27601733;m2;1334379
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_b01.obj;18719.875;-17.891263961791992;17056.236328125;2.3617911338806152;174.50006103515625;10.370752334594727;0;2.1494140625;27261095;m2;1108217
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18686.443359375;-91.7398910522461;17324.19140625;0;151.37100219726562;0;0;3.7421875;27601654;m2;1334385
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18659.701171875;-119.07290649414062;17529.626953125;0;272.3509826660156;0;0;3.5048828125;27601731;m2;1334385
..\..\world\expansion06\doodads\7xp_kelpbush_c01.obj;18677.6953125;-93.89681243896484;17243.486328125;0;311;0;0;0.5595703125;27650335;m2;1342503
..\..\world\expansion06\doodads\araknashal\7an_rockstack_c01.obj;19167.986328125;36.68265914916992;17109.580078125;1.680625081062317;81.50006103515625;-9.743354797363281;0;1.369140625;27551373;m2;1089880
..\..\world\expansion06\doodads\7xp_kelpyellow_b01.obj;18684.7890625;-122.21878051757812;17559.908203125;0;159.5;0;0;3.3798828125;27601687;m2;1334387
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18689.693359375;-89.9590835571289;17324.361328125;0;43.3709716796875;0;0;3.232421875;27601644;m2;1334385
..\..\world\expansion06\doodads\7xp_bullkelp_c03.obj;18700.046875;-114.67455291748047;17510.361328125;0;300;0;0;0.759765625;27601705;m2;1342906
..\..\world\expansion06\doodads\7xp_kelpyellow_b01.obj;18659.26171875;-117.78472137451172;17518.3203125;0;194.5;0;0;2.76953125;27601694;m2;1334387
..\..\world\expansion06\doodads\7xp_kelp_b01.obj;18670.970703125;-117.39060974121094;17521.951171875;0;19.57598876953125;0;0;2.740234375;27601734;m2;1334379
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18694.001953125;-92.71558380126953;17320.662109375;0;267.8509826660156;0;0;2.724609375;27601645;m2;1334385
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18690.013671875;-91.28815460205078;17321.44140625;0;283.446044921875;0;0;2.7236328125;27601643;m2;1334385
..\..\world\expansion06\doodads\7xp_kelpred_b01.obj;18746.1796875;-111.49815368652344;17176.134765625;0;235.07601928710938;0;0;2.630859375;27601665;m2;1334386
..\..\world\expansion06\doodads\aszuna\7az_coastrock_b02.obj;19189.654296875;-51.276954650878906;17253.408203125;22.332347869873047;85.49990844726562;21.295930862426758;0;1.08984375;27608253;m2;1120481
..\..\world\expansion06\doodads\aszuna\7az_coastrock_b02.obj;19185.8359375;-56.651954650878906;17444.486328125;22.332345962524414;295.99993896484375;21.29593849182129;0;1.08984375;27608285;m2;1120481
..\..\world\expansion06\doodads\aszuna\7az_coastrock_b02.obj;19217.1484375;-44.64813995361328;17578.5859375;22.332345962524414;295.99993896484375;21.29593849182129;0;1.08984375;27608406;m2;1120481
..\..\world\expansion06\doodads\aszuna\7az_coastrock_b03.obj;19148.75390625;-24.74518585205078;17573.140625;0;92.5;0;0;2.0498046875;27608390;m2;1120482
..\..\world\expansion06\doodads\araknashal\7an_rockstack_c01.obj;18655.689453125;-18.72309112548828;17074.888671875;5.062089443206787;189.9998779296875;-170.17970275878906;0;0.9296875;27251540;m2;1089880
..\..\world\expansion06\doodads\7xp_kelpred_b01.obj;18735.548828125;-112.31400299072266;17170.8125;0;133.00003051757812;0;0;2.349609375;27601659;m2;1334386
..\..\world\expansion06\doodads\7xp_kelpred_b01.obj;18741.345703125;-114.65277862548828;17502.39453125;0;20.500091552734375;0;0;2.33984375;27601698;m2;1334386
..\..\world\expansion06\doodads\7xp_kelpred_b01.obj;18672.611328125;-112.27603912353516;17472.619140625;0;2.49981689453125;0;0;2.33984375;27601725;m2;1334386
..\..\world\expansion06\doodads\7xp_bullkelp_c02.obj;18641.0625;-97.0160140991211;17310.923828125;8.951318740844727;155.49993896484375;21.928863525390625;0;2.0498046875;27601697;m2;1342896
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18725.208984375;-109.57290649414062;17500.791015625;0;213.87103271484375;0;0;2.22265625;27601699;m2;1334385
..\..\world\expansion06\doodads\araknashal\7an_pinetree_b04.obj;19135.50390625;22.66788673400879;17130.37890625;-3.1826353073120117;328.7337646484375;-4.270590305328369;0;1.3291015625;27549778;m2;1035310
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18736.5625;-106.72207641601562;17190.423828125;0;180;0;0;2.2099609375;27601740;m2;1334385
..\..\world\expansion06\doodads\7xp_kelpyellow_b01.obj;18690.373046875;-90.95446014404297;17307.533203125;0;192.49996948242188;0;0;2.2099609375;27601781;m2;1334387
..\..\world\expansion06\doodads\7xp_kelpred_b01.obj;18735.404296875;-106.05299377441406;17177.326171875;0;293.8709411621094;0;0;2.1826171875;27601664;m2;1334386
..\..\world\expansion06\doodads\7xp_kelpred_b01.obj;18730.853515625;-105.09874725341797;17186.126953125;0;40.5;0;0;2.099609375;27601756;m2;1334386
..\..\world\expansion06\doodads\araknashal\7an_rockstack_c01.obj;18703.89453125;-22.08562660217285;17062.634765625;13.100741386413574;261.9999694824219;-3.065563201904297;0;0.8291015625;27244021;m2;1089880
..\..\world\expansion06\doodads\7xp_kelp_b01.obj;18739.66796875;-104.91483306884766;17196.748046875;0;180.99996948242188;0;0;2.0390625;27601689;m2;1334379
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18665.5546875;-124.8646011352539;17594.515625;0;328;0;0;2.0390625;27601787;m2;1334385
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18667.61328125;-125.60590362548828;17604.583984375;0;328;0;0;1.9697265625;27601745;m2;1334385
..\..\world\expansion06\doodads\araknashal\7an_rockswamp_c01.obj;18738.017578125;-40.76749801635742;17136.90625;11.496000289916992;302.82586669921875;-16.921974182128906;0;3.189453125;27260353;m2;1110144
..\..\world\expansion06\doodads\aszuna\7az_coastrock_b03.obj;19211.42578125;-34.679176330566406;17391.14453125;-8.339975357055664;23.000030517578125;7.32767391204834;0;1.3798828125;27608312;m2;1120482
..\..\world\expansion06\doodads\7xp_kelpyellow_b01.obj;18747.376953125;-107.5307388305664;17186.044921875;0;180;0;0;1.919921875;27601749;m2;1334387
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_b01.obj;18704.34375;-9.778985023498535;17082.974609375;0.4864981472492218;204.99993896484375;6.562774658203125;0;1.1298828125;27251572;m2;1108217
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_b01.obj;18718.53515625;-19.360483169555664;17098.85546875;14.935460090637207;12.49993896484375;18.12334632873535;0;1;27251652;m2;1108217
..\..\world\expansion06\doodads\araknashal\7an_rockstack_c01.obj;18696.455078125;-15.291829109191895;17078.724609375;-0.7822012305259705;25.999908447265625;-3.4415292739868164;0;0.76953125;27251648;m2;1089880
..\..\world\expansion06\doodads\araknashal\7an_rockstack_c01.obj;18659.45703125;-5.201348304748535;17079.408203125;-1.6752718687057495;228.4999237060547;3.024015426635742;0;0.75;27251734;m2;1089880
..\..\world\expansion06\doodads\7xp_bullkelp_c02.obj;18829.404296875;-40.70528030395508;17130.9375;0.7086310386657715;108.14708709716797;-1.4211143255233765;0;1.8994140625;27258994;m2;1342896
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18722.99609375;-109.4670181274414;17498.96484375;0;330.35101318359375;0;0;1.8154296875;27601737;m2;1334385
..\..\world\expansion06\doodads\7xp_kelpred_b01.obj;18730.779296875;-114.94705963134766;17171.61328125;0;275.3509826660156;0;0;1.794921875;27601666;m2;1334386
..\..\world\expansion06\doodads\7xp_kelpred_b01.obj;18764.201171875;-95.05472564697266;17176.197265625;0;23.85101318359375;0;0;1.794921875;27601783;m2;1334386
..\..\world\expansion06\doodads\araknashal\7an_pinetree_b01.obj;19128.310546875;29.36945343017578;17115.41015625;-0.557837188243866;17.500152587890625;5.409905433654785;0;1.2890625;27549760;m2;1030093
..\..\world\expansion06\doodads\7xp_kelpyellow_b01.obj;18695.634765625;-118.93203735351562;17172.712890625;0;180;0;0;1.76953125;27601769;m2;1334387
