ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_b01.obj;18628.986328125;6.615224361419678;17010.55078125;-2.796205520629883;109;-4.453145980834961;0;5.599609375;27259710;m2;1108217
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_b01.obj;18442.380859375;12.811951637268066;17010.19921875;5.064784526824951;151;-15.140766143798828;0;3.8896484375;27261035;m2;1108217
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;18136.384765625;-110.91448211669922;17467.12109375;-1.2068781852722168;165.5;2.270632028579712;0;1.349609375;27604545;m2;1342908
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;18143.341796875;-111.48770904541016;17544.416015625;1.9416966438293457;210.4999542236328;2.376743793487549;0;1.1396484375;27604595;m2;1342908
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;18127.763671875;-115.23648071289062;17455.076171875;-1.206878423690796;215.99998474121094;2.2706336975097656;0;1.029296875;27604599;m2;1342908
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;18251.73828125;-111.11781311035156;17550.826171875;2.534823417663574;333.49993896484375;0.2731289267539978;0;1.0693359375;27604438;m2;1342908
..\..\world\expansion06\doodads\7xp_kelpbush_c01.obj;18642.548828125;-135.68951416015625;17342.33203125;0;180;0;0;0.8095703125;27601803;m2;1342503
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_b01.obj;18480.822265625;-53.20830535888672;17054.24609375;-4.498695373535156;7.0001220703125;-17.57625389099121;0;2.7294921875;27241234;m2;1108217
..\..\world\expansion06\doodads\araknashal\7an_rockstack_c01.obj;18543.876953125;-16.89544677734375;17086.236328125;2.080300807952881;81.5;-19.1446475982666;0;1.9296875;27259758;m2;1089880
..\..\world\expansion06\doodads\7xp_bullkelp_c04.obj;18220.44140625;-102.70928192138672;17666.955078125;2.4137048721313477;121.49996948242188;-2.1348459720611572;0;1.3095703125;27604533;m2;1342907
..\..\world\expansion06\doodads\7xp_bullkelp_c04.obj;18221.255859375;-106.66594696044922;17604.080078125;2.41369891166687;18;-2.134838104248047;0;1.3095703125;27604539;m2;1342907
..\..\world\expansion06\doodads\7xp_bullkelp_c04.obj;18213.111328125;-104.55650329589844;17643.185546875;2.7380504608154297;41.499969482421875;1.6592285633087158;0;1.26953125;27604550;m2;1342907
..\..\world\expansion06\doodads\7xp_kelp_b01.obj;18680.607421875;-120.55034637451172;17550.4765625;0;319.5;0;0;4.7099609375;27601682;m2;1334379
..\..\world\expansion06\doodads\7xp_kelpbush_c02.obj;18684.560546875;-120.65625;17551.67578125;0;43;0;0;1;27601804;m2;1342504
..\..\world\expansion06\doodads\7xp_bullkelp_c05.obj;18192.17578125;-107.89347076416016;17541.142578125;-1.2068841457366943;110.00006103515625;2.270641803741455;0;1;27604498;m2;1342908
..\..\world\expansion06\doodads\7xp_bullkelp_c04.obj;18225.673828125;-104.57710266113281;17626.869140625;2.738058567047119;138.50003051757812;1.6592354774475098;0;1.26953125;27604436;m2;1342907
..\..\world\expansion06\doodads\7xp_kelpgreen_b01.obj;18659.90625;-111.83159637451172;17461.861328125;0;90.8509521484375;0;0;4.3251953125;27601766;m2;1334385
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_a01.obj;18548.705078125;-99.42127990722656;17342.12109375;-5.983409881591797;131.49993896484375;35.15290832519531;0;2.4599609375;27260890;m2;1108227
