ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID
..\..\world\expansion04\doodads\pandaren\birds\pa_sunbirds_loop.obj;18354.06640625;323.8280334472656;16442.359375;0;330.5;0;0;1;27546330;m2;588346
..\..\world\expansion04\doodads\pandaren\birds\pa_sunbirds_loop.obj;18466.99609375;341.07012939453125;16466.546875;0;45.5;0;0;1;27545707;m2;588346
..\..\world\expansion06\doodads\highmountain\7hm_talltree_c03.obj;18655.552734375;227.368896484375;16536.32421875;0.1931498646736145;42.061798095703125;0.8287697434425354;0;2.943359375;25490147;m2;1126613
..\..\world\expansion06\doodads\highmountain\7hm_talltree_c01.obj;18659.861328125;270.12152099609375;16031.4267578125;-1.5960617065429688;103.5001220703125;5.608296871185303;0;2.0595703125;25467484;m2;1124169
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_c01.obj;18395.642578125;273.8513488769531;16576.84765625;-18.702960968017578;112.99996948242188;29.373136520385742;0;1;27262650;m2;1108757
..\..\world\expansion06\doodads\highmountain\7hm_talltree_c03.obj;18672.02734375;244.92787170410156;16505.416015625;-0.17282311618328094;42.061798095703125;0.4880887269973755;0;2.1640625;25490144;m2;1126613
..\..\world\expansion06\doodads\araknashal\7an_rockstackcluster_b02.obj;18421.4296875;104.45237731933594;16202.60546875;5.472667694091797;63.99993896484375;-22.57539176940918;0;2.0595703125;27262513;m2;1108364
..\..\world\expansion06\doodads\highmountain\7hm_talltree_c03.obj;18274.615234375;251.1083984375;16512.62890625;-1.6541121006011963;323.06201171875;1.0849061012268066;0;2.00390625;27545436;m2;1126613
..\..\world\expansion06\doodads\highmountain\7hm_talltree_c03.obj;18305.8671875;218.73165893554688;16416.484375;-1.6541118621826172;297.06201171875;1.0849061012268066;0;2.00390625;27545794;m2;1126613
..\..\world\expansion06\doodads\highmountain\7hm_talltree_c03.obj;18403.083984375;218.97125244140625;16474.03515625;-1.6541105508804321;290.56201171875;1.0849052667617798;0;2.00390625;27546315;m2;1126613
..\..\world\expansion06\doodads\highmountain\7hm_talltree_c03.obj;18315.580078125;220.89833068847656;16430.548828125;-1.6541107892990112;65.56201171875;1.0849055051803589;0;2.00390625;27545492;m2;1126613
..\..\world\expansion06\doodads\highmountain\7hm_pinetree_c02.obj;18672.40234375;267.1041564941406;16041.2490234375;-0.561145544052124;353.50006103515625;-1.5883046388626099;0;2.9794921875;25467487;m2;1093796
..\..\world\expansion06\doodads\highmountain\7hm_talltree_c03.obj;18334.06640625;239.18980407714844;16516.888671875;-1.6541118621826172;53.56201171875;1.0849061012268066;0;1.8037109375;27545710;m2;1126613
..\..\world\expansion06\doodads\highmountain\7hm_talltree_c01.obj;18657.3828125;257.3333435058594;16048.107421875;1.3516948223114014;35.50006103515625;6.397376537322998;0;1.279296875;25467488;m2;1124169
..\..\world\expansion06\doodads\araknashal\7an_tree_c01.obj;18351.08984375;239.22930908203125;16528.51953125;1.0577689409255981;283.500244140625;2.778414487838745;0;1.7294921875;27545493;m2;1030059
..\..\world\expansion06\doodads\highmountain\7hm_pinetree_c02.obj;18332.4375;242.30563354492188;16506.99609375;7.688623428344727;263.39990234375;-1.6688300371170044;0;1.69921875;27545496;m2;1093796
..\..\world\expansion06\doodads\highmountain\7hm_pinetree_c02.obj;18427.392578125;227.39627075195312;16492.13671875;7.688621997833252;11.39996337890625;-1.668826937675476;0;1.69921875;27546311;m2;1093796
..\..\world\expansion06\doodads\highmountain\7hm_pinetree_c02.obj;18304.845703125;252.34071350097656;16514.833984375;7.688621997833252;43.89996337890625;-1.6688292026519775;0;1.69921875;27545359;m2;1093796
..\..\world\expansion06\doodads\highmountain\7hm_pinetree_c02.obj;18461.2265625;246.5060272216797;16536.142578125;7.688620090484619;41.39996337890625;-1.6688268184661865;0;1.69921875;27545685;m2;1093796
..\..\world\expansion06\doodads\araknashal\7an_tree_c01.obj;18304.04296875;225.5265350341797;16443.828125;2.9328174591064453;166.500244140625;5.324820041656494;0;1.51953125;27546011;m2;1030059
..\..\world\expansion06\doodads\araknashal\7an_tree_c01.obj;18401.8515625;222.0213165283203;16456.48828125;2.9328174591064453;31.500213623046875;5.324820041656494;0;1.51953125;27546313;m2;1030059
..\..\world\expansion06\doodads\araknashal\7an_tree_c03.obj;18238.849609375;251.14317321777344;16416.791015625;0;207.49996948242188;0;0;1.3994140625;27262898;m2;1035505
..\..\world\expansion06\doodads\araknashal\7an_tree_c01.obj;18264.1484375;258.01263427734375;16498.4921875;-0.6538471579551697;64.000244140625;2.5615293979644775;0;1.51953125;27545349;m2;1030059
